category,gate,role_name,source_combo,zh_prompt,en_prompt
正式用户画像,,硕士研究生小李,,"硕士研究生男生角色，23岁，实验室工位，年轻东亚研究生，浅色卫衣，黑框眼镜，桌面有论文草稿、便签、电脑和实验记录，本人略疲惫但认真，温和、迷茫、想变得更有条理，科研拟人IP，现代校园科研风，柔和冷色光，半身角色立绘，高细节","23-year-old master's student, East Asian graduate student, in a laboratory workstation, light hoodie, black-rim glasses, thesis drafts, sticky notes, laptop, experiment notes, slightly tired but earnest, gentle and a bit lost, wants structure, academic character IP, modern campus research vibe, soft cool lighting, detailed half-body character illustration"
正式用户画像,,博士研究生小王,,"博士研究生角色，27岁，东亚博士生，多屏工作台，深色外套，电脑上同时打开论文、项目进度、邮件和课程资料，神情冷静但高压，任务线缠绕成可视化光轨，时间碎片化，科研管理者气质，现代科研办公风，冷白灯光，精致角色海报，高细节","27-year-old PhD student, East Asian doctoral researcher, multi-monitor workstation, dark jacket, thesis pages, project timeline, emails, teaching materials opened at once, calm but under pressure, multi-task trails visualized as light paths, fragmented time, research manager aura, modern academic workspace, cool white lighting, polished character poster, high detail"
人格角色,夜型生物门,实验室蝙蝠,,"实验室蝙蝠，夜行科研拟人角色，蝙蝠元素耳饰，深紫与蓝黑配色，实验袍混搭街头夹克，手持发光平板与论文，站在深夜图书馆，神情清醒冷锐，夜型天才，潮流IP角色立绘，高对比霓虹光","Lab Bat, nocturnal research character, bat-inspired accessories, deep purple and blue-black palette, lab coat mixed with street jacket, glowing tablet and papers, midnight library background, sharp awake expression, night-owl genius, stylish IP character art, neon contrast lighting"
人格角色,夜型生物门,猫头鹰研究员,,"猫头鹰研究员，猫头鹰拟人科研角色，夜蓝长外套，羽纹肩饰，圆框眼镜，金色锐利眼睛，手里夹着实验记录和咖啡，背景是深夜实验室，聪明、克制、专注，角色卡插画，高细节","Owl Researcher, owl-inspired academic character, midnight blue coat, feather-pattern shoulder piece, round glasses, golden sharp eyes, holding experiment notes and coffee, late-night lab background, intelligent restrained focused mood, character card illustration, high detail"
人格角色,夜型生物门,深夜幽灵,,"深夜幽灵，安静诡秘的科研拟人，半透明黑灰披风，冷白月光，漂浮的番茄钟与待办标签，消瘦轮廓，空灵但专注，凌晨工作状态，极简背景，神秘高级感角色插画","Midnight Ghost, quiet mysterious academic spirit character, translucent dark cloak, pale moonlight, floating pomodoro timer and task tags, slender silhouette, ethereal but focused, late-night work mode, minimal background, premium mysterious character illustration"
人格角色,晨型生物门,晨鸣鹤,,"晨鸣鹤，清晨科研拟人角色，白鹤意象，白金与朝霞红配色，修长身形，整洁笔记本与水杯，站在日出的图书馆窗边，宁静、自律、早起精英气质，角色海报，高级插画","Dawn Crane, morning academic character, crane motif, white-gold and sunrise red palette, slender figure, tidy notebook and water bottle, standing by a sunrise library window, calm disciplined early-riser aura, premium character poster illustration"
人格角色,晨型生物门,黎明特攻队,,"黎明特攻队，清晨突击型科研角色，黎明橙与深蓝配色，轻战术风外套，肩背电脑包，手腕有能量监测装置，天未亮的校园背景，紧绷、迅速、带一点疲惫，科研潮玩IP","Dawn Raider, early-morning strike researcher character, dawn orange and dark blue palette, light tactical jacket, laptop bag, wrist energy monitor, pre-sunrise campus background, tense fast slightly sleep-deprived, research designer-toy IP"
人格角色,晨型生物门,六点蜜蜂,,"六点蜜蜂，高效率晨型科研角色，蜂巢六边形视觉，黑黄加蜂蜜金配色，短夹克与轻便工具腰包，手机上是清空邮件的提示，精力充沛，动作利落，可爱但高效的IP角色","Six O'Clock Bee, highly efficient morning research character, honeycomb hexagon motifs, black yellow and honey-gold palette, short jacket and utility belt, phone showing inbox zero, energetic and quick, cute but efficient IP character"
人格角色,DDL生物门,DDL炼金术士,,"DDL炼金术士，截止日期驱动型科研法师，沙漏和炼金阵元素，黑金与燃烧橙配色，长袍混搭现代实验服，手中悬浮即将到期的任务卷轴，爆发感极强，史诗感角色立绘","Deadline Alchemist, deadline-driven research mage, hourglass and alchemy circle motifs, black gold and burning orange palette, robe mixed with modern lab wear, floating urgent task scrolls, explosive energy, epic character illustration"
人格角色,DDL生物门,火山爆发型选手,,"火山爆发型选手，压抑后喷发的科研角色，黑曜石与岩浆红配色，衣服表面带熔岩裂纹，背后是喷发光流，表情平静却危险，象征最后时刻的极限产出，动态角色插画","Volcanic Performer, research character that erupts after long silence, obsidian and magma red palette, outfit with molten cracks, eruption glow behind, calm yet dangerous expression, symbolizes last-minute extreme output, dynamic character art"
人格角色,DDL生物门,定时炸弹研究员,,"定时炸弹研究员，倒计时驱动科研人格，红黑警示配色，胸前有数字倒计时核心，手握文件夹和秒表，紧张、危险、极高效率，背景是闪烁警报和论文页面，赛博科研风","Time Bomb Researcher, countdown-driven academic persona, red and black warning palette, chest core with digital timer, holding folders and stopwatch, tense dangerous highly efficient, blinking alarm lights and thesis pages in background, cyber research style"
人格角色,佛系生物门,稳态水母,,"稳态水母，稳定推进型科研角色，海蓝与透明白配色，水母触须化作数据流，悬浮在宁静背景中，表情放松平和，连续完成率很高，柔软又可靠，治愈系科研拟人","Steady Jellyfish, stable-progress research character, ocean blue and translucent white palette, jellyfish tentacles turning into data streams, floating in a calm background, relaxed peaceful face, consistently high completion rate, soft yet reliable healing academic character"
人格角色,佛系生物门,沉浸模式海龟,,"沉浸模式海龟，慢热但持久的科研角色，青绿和深海蓝配色，海龟壳纹理披肩，护目镜，手里是厚厚的资料，动作不快但极稳，深潜进入心流，角色设定图","Immersion Turtle, slow-start but persistent research character, teal and deep sea blue palette, turtle-shell textured cape, goggles, carrying thick documents, not fast but very steady, deep-diving into flow state, character design sheet"
人格角色,佛系生物门,冬眠熊,,"冬眠熊，战略性蓄力的科研角色，棕灰低饱和配色，厚实外套，大型储能背包，坐姿沉稳，旁边是被分类搁置的任务卡，安静、聪明、节能型，角色海报","Hibernation Bear, strategic energy-saving research character, muted brown and gray palette, heavy coat, large energy-storage backpack, calm seated posture, shelved task cards beside, quiet smart economical vibe, character poster"
人格角色,佛系生物门,树懒禅师,,"树懒禅师，慢节奏灵感型科研角色，树懒拟人，木色和雾蓝配色，宽松长袍，盘坐冥想姿态，周围漂浮灵感便签，慵懒、平静、带哲学气质，插画风IP角色","Sloth Zen Master, slow-paced inspiration-driven research character, sloth-inspired humanoid, wood tones and mist blue palette, loose robe, meditative pose, floating idea notes around, lazy peaceful philosophical mood, illustrated IP character"
人格角色,猛冲生物门,全天候鲨鱼,,"全天候鲨鱼，高强度科研战士，鲨鱼流线造型，银灰与深蓝配色，干练运动风实验服，身后是昼夜切换的时间轴，压迫感强，持续输出，现代机能风角色插画","All-Day Shark, high-intensity research warrior, shark streamline design, silver gray and deep blue palette, athletic functional lab wear, day-night timeline behind, intense and relentless output, modern techwear character illustration"
人格角色,猛冲生物门,蜂巢建筑师,,"蜂巢建筑师，碎片时间管理大师，蜂巢模块视觉，明黄与石墨灰配色，工程师式外套，周围漂浮整齐排列的任务方块，聪明、忙碌、结构感强，科研建造者IP","Hive Architect, master of turning fragmented time into structure, honeycomb modular visuals, bright yellow and graphite gray palette, engineer-style jacket, neatly arranged floating task blocks, smart busy strongly structured, research builder IP"
人格角色,猛冲生物门,猎隼专注体,,"猎隼专注体，极致专注科研角色，猎隼意象，冷银和锐金配色，轻装甲式实验服，眼前悬浮聚焦瞄准光圈，背景噪音被模糊压暗，表情锐利，强专注角色立绘","Falcon Focus Form, extreme concentration research character, falcon motif, cool silver and sharp gold palette, light armored lab wear, floating focus reticle before the eyes, background noise blurred and darkened, piercing expression, highly focused character art"
人格角色,猛冲生物门,满月狼,,"满月狼，进入状态后停不下来的科研角色，狼系拟人，月白与冷红配色，长外套在风中扬起，背后满月巨大，眼神狂热，心流爆发感，动态角色海报","Full Moon Wolf, research character that cannot stop once in flow, wolf-inspired humanoid, moon white and cool red palette, long coat blowing in wind, giant full moon behind, fervent gaze, explosive flow-state energy, dynamic character poster"
人格角色,崩溃重启门,凤凰协议,,"凤凰协议，崩溃后重启的科研角色，凤凰火焰和系统重启元素，紫黑与火焰橙配色，破损后自愈的装甲外套，站在重启进度条前，顽强、冷静、带一点疯感，角色插画","Phoenix Protocol, research character that crashes and reboots, phoenix fire and system restart motifs, purple-black and flame orange palette, self-repairing damaged armor jacket, standing before a reboot progress bar, resilient calm slightly unhinged, character illustration"
人格角色,崩溃重启门,量子态研究员,,"量子态研究员，多任务叠加态科研角色，蓝紫旋涡与重影分身，衣装带粒子分解效果，多个半透明手臂同时操作不同任务界面，混乱但平静，科幻学术角色设定","Quantum State Researcher, multi-task superposition academic character, blue-purple vortex and afterimage clones, outfit with particle disintegration effects, several translucent arms handling different task interfaces, chaotic yet calm, sci-fi academic character design"
人格角色,崩溃重启门,学术僵尸,,"学术僵尸，过劳科研拟人，苍白皮肤，重黑眼圈，破旧卫衣外搭实验服，胸口是机械番茄钟核心，身体疲惫但仍在前进，荒诞又真实，角色海报插画","Academic Zombie, overworked research character, pale skin, heavy dark circles, worn hoodie under a lab coat, mechanical pomodoro core in the chest, physically exhausted but still moving, absurd yet relatable, character poster illustration"
人格角色,崩溃重启门,黑洞吸收者,,"黑洞吸收者，时间感知失效的科研角色，黑洞旋涡核心，深黑与紫蓝配色，周围任务卡片被引力吸入，时钟扭曲变形，神秘、危险、难以预测，赛博神秘风角色","Black Hole Absorber, research character with broken time perception, black hole vortex core, deep black and violet-blue palette, task cards pulled into gravity, distorted clocks, mysterious dangerous unpredictable, cyber-mystic character art"
人格角色,战略生物门,筑巢松鼠,,"筑巢松鼠，规划型科研角色，松鼠拟人，棕金和森林绿配色，大尾巴，手里抱着分类文件盒和任务卡，桌面极整洁，勤快、有秩序、略偏执，角色卡插画","Nest Squirrel, planning-oriented research character, squirrel-inspired humanoid, brown-gold and forest green palette, large tail, holding categorized file boxes and task cards, ultra-neat desk, diligent orderly slightly obsessive, character card illustration"
人格角色,战略生物门,里程碑猎人,,"里程碑猎人，任务拆解型科研角色，探险猎人气质，墨绿和铜金配色，斗篷上挂满阶段徽章，手持路线地图和里程碑旗帜，把论文当副本来打，冒险感角色海报","Milestone Hunter, research character who breaks projects into boss stages, adventurer-hunter vibe, dark green and bronze gold palette, cloak filled with progress badges, holding route map and milestone flags, treats thesis like a dungeon run, adventurous character poster"
人格角色,战略生物门,章鱼多线程,,"章鱼多线程，多线并行科研角色，章鱼触手化作数据线，蓝绿紫配色，多块悬浮屏同时显示不同项目，表情从容，自信，复杂但有掌控力，科技感角色立绘","Octopus Multithread, multi-track research character, octopus tentacles turned into data cables, blue green purple palette, multiple floating screens showing different projects, composed confident expression, complex yet in control, tech character illustration"
人格角色,战略生物门,慢热变形者,,"慢热变形者，后劲型科研角色，蝴蝶与蜕变元素，靛蓝到亮彩渐变，前半身像茧，后半身展开华丽翅片，神情内敛但潜力巨大，成长型角色插画","Slow-Warm Shapeshifter, late-blooming research character, butterfly and metamorphosis motifs, indigo-to-bright gradient palette, cocoon-like first half and expanded elegant wing plates later, reserved expression with massive potential, growth-themed character illustration"
人格角色,混沌生物门,实验室赌徒,,"实验室赌徒，高风险试错型科研角色，骰子和筹码元素，紫红与黑金配色，实验台上同时开着多个项目，眼神兴奋，带一点疯狂科学家气质，混沌而迷人，角色海报","Lab Gambler, high-risk trial-and-error research character, dice and chips motifs, crimson purple and black-gold palette, multiple projects running at once on the bench, excited eyes, slightly mad scientist vibe, chaotic yet charismatic, character poster"
人格角色,混沌生物门,俄罗斯套娃,,"俄罗斯套娃，递归任务型科研角色，套娃意象，暖红与木纹配色，身体由一层层任务壳组成，壳内还有更小的计划界面，复杂、幽默、信息量大，概念角色插画","Russian Doll, recursive task-tree research character, matryoshka motif, warm red and wood texture palette, body made of layered task shells, smaller planning interfaces inside, complex humorous information-dense, concept character illustration"
人格角色,稀有物种门,数据幽灵,,"数据幽灵，极稀有高效科研角色，发光白蓝配色，半透明数据体，身体由热力图和统计图构成，眼睛像监测光点，完美、冷静、近乎非人，稀有角色卡插画","Data Ghost, ultra-efficient rare research character, glowing white-blue palette, translucent data body, body formed by heatmaps and charts, eyes like scanning lights, perfect calm almost non-human, rare character card illustration"
人格角色,稀有物种门,全能异常体,,"全能异常体，无法分类的科研角色，彩虹干涉色与故障纹理，多风格服装拼接，身体局部不断变化形态，背景是被打破的分类图谱，复杂、华丽、不可预测，超稀有概念角色","Omni Anomaly, unclassifiable research character, rainbow interference colors and glitch textures, mixed-style outfit collage, body parts constantly shifting form, shattered taxonomy chart in background, complex gorgeous unpredictable, ultra-rare concept character"
人格角色,稀有物种门,孤独星球,,"孤独星球，独立系统型科研角色，深空蓝与星环银配色，安静站在微型轨道星环中央，长外套像宇航服与学袍结合，疏离、稳定、极度自洽，诗意科幻角色立绘","Lonely Planet, self-contained system research character, deep space blue and ring silver palette, standing quietly within a miniature orbital ring, long coat blending spacesuit and academic robe, distant stable highly self-consistent, poetic sci-fi character illustration"
组合角色,,暗夜不死鸟,实验室蝙蝠 + 凤凰协议,"暗夜不死鸟，夜行科研与重启意志融合角色，蝙蝠翼与凤凰火羽结合，紫黑与炽橙配色，站在深夜实验室废墟里重新点燃屏幕，危险、华丽、强复活感，史诗角色海报","Night Undying Phoenix, fusion of nocturnal research and reboot resilience, bat wings combined with phoenix fire feathers, purple-black and blazing orange palette, reigniting screens in a midnight lab ruin, dangerous gorgeous reborn energy, epic character poster"
组合角色,,截止日期超导体,DDL炼金术士 + 章鱼多线程,"截止日期超导体，多线DDL爆发融合角色，章鱼触手操控多份即将到期任务卷轴，黑金与电蓝配色，能量高速传导，强大而疯狂，赛博炼金术科研角色","Deadline Superconductor, fusion of multi-track and deadline explosion, octopus-like arms controlling several urgent task scrolls, black-gold and electric blue palette, high-speed energy conduction, powerful and slightly insane, cyber-alchemist research character"
组合角色,,秩序编织者,筑巢松鼠 + 稳态水母,"秩序编织者，极稳规划型科研角色，松鼠收纳与水母稳定感结合，青绿和金棕配色，周围漂浮被编织成网格的任务线，宁静、可靠、优雅，治愈系秩序角色","Order Weaver, ultra-stable planning research character, squirrel organization merged with jellyfish steadiness, teal and golden brown palette, task lines woven into a calm grid around the character, serene reliable elegant, healing order-themed character"
组合角色,,行走的科研机器,学术僵尸 + 猎隼专注体,"行走的科研机器，过劳与极致专注融合角色，疲惫身体配高精度瞄准系统，灰白皮肤，银黑机能装，眼前锁定光圈，冷酷、持续、带压迫感，半机械科研战士","Walking Research Machine, fusion of overwork and extreme focus, exhausted body with a precision targeting system, gray-white skin, silver-black functional gear, locking reticle before the eyes, cold relentless intimidating, semi-mechanical research warrior"
组合角色,,隐形冠军,冬眠熊 + 慢热变形者,"隐形冠军，低调蓄力后惊艳全场的科研角色，熊系厚重感与蝴蝶蜕变结合，深棕到亮蓝渐变，前期像沉睡护甲，后期开出巨大光翼，沉默、惊艳、后劲强","Invisible Champion, research character that disappears early and dominates later, heavy bear energy fused with butterfly metamorphosis, dark brown to bright blue gradient, sleeping armor in early form and giant luminous wings in final form, quiet stunning powerful payoff"
组合角色,,时间黑洞,黑洞吸收者 + 火山爆发型选手,"时间黑洞，时间吞噬与爆发产出融合角色，黑洞核心包裹岩浆裂纹，紫黑和熔岩红配色，失真的钟表漂浮四周，神秘、危险、不可解释，概念感强的角色海报","Time Black Hole, fusion of time-devouring and explosive output, black hole core wrapped in magma cracks, purple-black and molten red palette, distorted clocks floating around, mysterious dangerous inexplicable, highly conceptual character poster"
组合角色,,永动机,实验室蝙蝠 + 全天候鲨鱼,"永动机，昼夜不停科研角色，蝙蝠夜翼与鲨鱼流线结合，冷蓝与深灰配色，背景为24小时环形时间表，身体充满持续运转的机械节奏，极限耐久，高压高能","Perpetual Motion Engine, day-and-night relentless research character, bat night wings fused with shark streamline design, cool blue and dark gray palette, 24-hour circular timeline in background, body filled with continuous mechanical rhythm, extreme endurance and pressure"
组合角色,,薛定谔的作息,晨鸣鹤 + 深夜幽灵,"薛定谔的作息，晨型与夜型叠加角色，半边是晨光白鹤，半边是午夜幽灵，暖金与冷蓝对撞，时间刻度悬浮破碎，矛盾、迷人、量子感极强，概念角色插画","Schrodinger Schedule, fusion of early bird and night ghost, one side dawn crane and the other midnight specter, warm gold colliding with cold blue, fragmented floating time scales, contradictory fascinating highly quantum, concept character illustration"
组合角色,,效率偏执狂,蜂巢建筑师 + 筑巢松鼠,"效率偏执狂，结构化效率极致角色，蜂巢模块与松鼠收纳结合，黄棕与工程灰配色，身边每一秒都被切成可利用时间格，整洁、紧绷、超强执行力，角色设定图","Efficiency Obsessive, extreme structured productivity character, honeycomb modules fused with squirrel storage instinct, yellow-brown and engineering gray palette, every second split into usable time cells around the body, neat tense hyper-executive, character design sheet"
组合角色,,战略性摆烂,DDL炼金术士 + 冬眠熊,"战略性摆烂，蓄力与爆发共存的科研角色，慵懒厚重姿态下隐藏金色炼金能量，棕灰与黑金配色，沙漏半埋在柔软坐垫中，表面躺平，内里危险，戏剧化角色插画","Strategic Slacker, research character balancing hibernation and deadline explosion, lazy heavy posture hiding golden alchemy energy, muted brown-gray and black-gold palette, hourglass half-buried in a soft cushion, looks idle but dangerous inside, dramatic character illustration"
组合角色,,双面人,沉浸模式海龟 + 满月狼,"双面人，慢热与狂暴并存的科研角色，一半海龟一半狼，青蓝与冷红对比，左侧沉静深潜，右侧满月爆发，速度反差巨大，冲突感很强的角色海报","Dual-Faced Researcher, fusion of slow immersion and wild burst, half turtle and half wolf, teal-blue versus cold red palette, left side calm deep dive and right side full moon frenzy, huge speed contrast, high-conflict character poster"
组合角色,,豪赌不死,实验室赌徒 + 凤凰协议,"豪赌不死，高风险试错后仍能复生的科研角色，赌徒筹码、炸裂实验台、凤凰重生火焰同框，紫红与火橙配色，败局中的胜者，疯狂、强韧、戏剧张力极高","Undying Gambler, research character who survives catastrophic trial-and-error, gambling chips, exploded lab bench, and phoenix rebirth flames in one scene, crimson purple and fire orange palette, winner emerging from failure, insane resilient highly dramatic"
组合角色,,早起但还是赶DDL,六点蜜蜂 + 定时炸弹研究员,"早起但还是赶DDL，反差型科研角色，晨光蜜蜂效率感与红色倒计时核心结合，黄黑和警示红配色，清晨背景却满是截止日期警报，荒诞、可爱、真实，角色插画","Early Riser Still Chasing Deadlines, contrast-driven research character, morning bee efficiency fused with a red countdown core, yellow-black and warning red palette, sunrise background full of deadline alarms, absurd cute relatable, character illustration"
组合角色,,混沌之子,量子态研究员 + 俄罗斯套娃,"混沌之子，分形多层任务科研角色，量子重影与套娃递归结合，紫蓝与木红混合配色，身体层层展开成无限任务树，复杂、迷幻、极高信息密度，概念角色海报","Child of Chaos, fractal multi-layer task research character, quantum afterimages fused with recursive doll structure, violet-blue mixed with warm wood-red palette, body unfolding into an infinite task tree, complex hallucinatory extremely information-dense, concept poster"
组合角色,,休眠火山,树懒禅师 + 火山爆发型选手,"休眠火山，表面平静内里高压的科研角色，树懒般缓慢冥想姿态配火山裂纹核心，灰褐与熔岩橙配色，静坐时地面微微发红，下一秒将全面爆发，张力极强","Dormant Volcano, research character with calm exterior and high-pressure core, sloth-like meditative posture with volcanic crack core, gray-brown and molten orange palette, ground glows faintly while sitting still, total eruption imminent, highly tense"
组合角色,,机器人嫌疑,全天候鲨鱼 + 数据幽灵,"机器人嫌疑，数据完美到不真实的科研角色，鲨鱼级持续输出与数据幽灵的非人感结合，银蓝和冰白配色，热力图像光翼一样展开，冷静、精准、近乎AI化，未来感角色立绘","Robot Suspect, research character with unreal perfect metrics, shark-level nonstop output fused with the inhuman aura of Data Ghost, silver-blue and icy white palette, heatmaps unfolding like luminous wings, calm precise almost AI-like, futuristic character illustration"
